respondent_id,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,data_source_note,median_house_value,rooms_per_household,bedrooms_per_room,population_per_household
101846,-123.08,41.73,7,11171,1015.5418559096522,3458,1419,1.5096,INLAND,survey_2023,85027.0,7.872445384073291,0.09090876876820805,2.4369274136716
101471,-116.92,39.9,11,4644,1166.1466199094325,1733,748,4.5352,<1H OCEAN,survey_2023,224770.0,6.208556149732621,0.25110822995465815,2.3168449197860963
101778,-121.75,38.74,33,4224,835.891426939432,3256,963,1.1715,<1H OCEAN,survey_2023,165143.0,4.386292834890965,0.1978909628171004,3.381100726895119
101411,-123.18,33.74,26,10765,2622.9373128594525,3579,1321,2.9071,NEAR OCEAN,survey_2023,208789.0,8.149129447388342,0.2436541860528985,2.709311127933384
100386,-121.48,36.03,11,1374,320.34783963583914,966,260,2.5587,<1H OCEAN,survey_2023,138047.0,5.2846153846153845,0.23314981050643313,3.7153846153846155
100350,-119.27,38.54,43,4655,1293.1083739473704,1892,1039,2.1503,NEAR BAY,legacy_import,117082.0,4.480269489894129,0.2777891243710785,1.8209817131857555
100311,-123.52,40.81,51,9545,2840.913830094844,4110,1105,1.8949,INLAND,survey_2023,77959.0,8.638009049773755,0.29763371713932363,3.7194570135746607
101931,-118.69,34.22,4,9959,2152.035724116822,5401,1362,9.6797,INLAND,survey_2023,459652.0,7.312041116005874,0.2160895395237295,3.965491923641703
100840,-124.17,36.23,2,4736,854.6307934688001,2013,537,1.5029,<1H OCEAN,survey_2023,131009.0,8.819366852886406,0.18045413713445949,3.7486033519553073
100492,-121.53,39.74,28,7164,1198.2021269152046,4754,1446,1.3189,INLAND,survey_2023,95447.0,4.954356846473029,0.1672532282126193,3.2876901798063622
101829,-121.37,34.6,19,4051,621.634850449864,1885,1079,2.5508,INLAND,survey_2023,167221.0,3.7544022242817423,0.15345219709944802,1.7469879518072289
100488,-114.8,38.09,27,5101,914.3361436211984,1875,984,7.4102,NEAR BAY,survey_2023,371990.0,5.183943089430894,0.17924645042564172,1.9054878048780488
101930,-118.5,41.42,38,10810,2201.2332323480077,3529,1420,1.25,INLAND,survey_2023,66738.0,7.612676056338028,0.2036293461931552,2.4852112676056337
100705,-114.4,40.17,30,10547,1015.5418559096522,3543,1192,6.8546,<1H OCEAN,legacy_import,289011.0,8.848154362416107,0.09628727182228616,2.972315436241611
101388,-114.6,32.87,23,6875,2215.18128497366,3023,942,3.3249,<1H OCEAN,survey_2023,194175.0,7.298301486199575,0.3222081869052596,3.209129511677282
100971,-114.93,34.05,39,3043,1027.3651004899257,1526,421,3.4265,<1H OCEAN,survey_2023,201349.0,7.228028503562945,0.33761587265525,3.624703087885986
101963,-120.46,38.04,18,5077,1005.792176861948,1558,743,6.9153,<1H OCEAN,legacy_import,354416.0,6.833109017496636,0.19810757866101003,2.0969044414535665
100976,-118.35,40.47,35,3635,1146.2243867623708,1189,713,3.4164,INLAND,survey_2023,148416.0,5.098176718092566,0.3153299550928118,1.667601683029453
101342,-115.62,38.51,2,4279,691.2863986602962,3698,1184,3.6668,<1H OCEAN,survey_2023,216815.0,3.61402027027027,0.16155325979441368,3.123310810810811
100396,-115.72,33.97,51,7903,1015.5418559096522,4110,1207,3.1418,<1H OCEAN,survey_2023,148679.0,6.547638773819387,0.12850080424011795,3.405136702568351
101940,-123.71,39.69,15,5996,930.645818911848,2208,1173,2.4552,NEAR BAY,legacy_import,130636.0,5.111679454390452,0.15521111055901401,1.8823529411764706
101090,-114.87,36.78,47,6162,1015.5418559096522,1686,1114,2.6546,NEAR OCEAN,survey_2023,135313.0,5.531418312387792,0.16480718206907696,1.5134649910233393
101979,-115.88,36.55,52,6363,1104.739932915795,1562,717,0.5,<1H OCEAN,legacy_import,109120.0,8.874476987447698,0.17361935139333567,2.178521617852162
101780,-123.92,36.3,2,466,136.78193888579494,464,140,1.5383,<1H OCEAN,survey_2023,139910.0,3.3285714285714287,0.2935234740038518,3.3142857142857145
101242,-116.59,37.64,22,4378,978.1176533495932,1920,583,0.6887,<1H OCEAN,survey_2023,102861.0,7.509433962264151,0.22341654941744934,3.293310463121784
100921,-119.43,39.27,29,3511,701.837374461915,3819,1084,3.0468,<1H OCEAN,survey_2023,180520.0,3.238929889298893,0.19989671730615638,3.523062730627306
101750,-118.95,41.01,24,8972,2819.022604318245,3887,1277,1.1049,<1H OCEAN,survey_2023,89520.0,7.025841816758026,0.3142022519302547,3.043852779953015
100110,-121.4,33.84,24,940,181.28846568433008,666,312,2.069,<1H OCEAN,survey_2023,137603.0,3.0128205128205128,0.1928600698769469,2.1346153846153846
100744,-121.98,38.41,28,4724,921.8272761925646,3276,1024,2.4126,<1H OCEAN,survey_2023,174248.0,4.61328125,0.19513701866904415,3.19921875
100620,-122.45,39.99,19,6531,1441.2589292210782,3117,1425,2.2287,<1H OCEAN,legacy_import,205607.0,4.583157894736842,0.22067967068153088,2.1873684210526316
101371,-122.49,38.16,15,844,176.08211813156228,207,122,7.5646,<1H OCEAN,survey_2023,384500.0,6.918032786885246,0.20862810205161408,1.6967213114754098
100595,-119.56,39.87,32,3117,624.8285767455073,2214,570,3.5989,NEAR OCEAN,survey_2023,221533.0,5.468421052631579,0.20045831785226415,3.8842105263157896
101438,-122.28,41.32,15,6139,1105.1843359101051,2828,1330,0.9928,<1H OCEAN,legacy_import,118683.0,4.61578947368421,0.18002676916600507,2.126315789473684
101280,-118.12,36.79,29,3002,733.806900335976,1583,437,5.0075,NEAR BAY,survey_2023,256369.0,6.869565217391305,0.24443934055162425,3.622425629290618
101934,-117.54,35.42,41,4479,719.0346133288429,1699,704,8.1042,INLAND,legacy_import,337818.0,6.362215909090909,0.16053463124109016,2.413352272727273
100367,-115.25,37.81,11,6375,1562.2621852012153,2416,824,1.324,<1H OCEAN,survey_2023,87033.0,7.736650485436893,0.24506073493352395,2.9320388349514563
101047,-124.06,35.79,30,5192,1695.310816986552,3444,867,2.8274,<1H OCEAN,legacy_import,163342.0,5.988465974625144,0.32652365504363484,3.972318339100346
100002,-116.98,41.11,37,2263,397.55134757583966,1119,706,3.0904,INLAND,survey_2023,128287.0,3.2053824362606234,0.17567447970651331,1.584985835694051
100423,-119.36,36.86,19,10238,1947.7859722688888,5297,1425,3.001,INLAND,survey_2023,124579.0,7.184561403508772,0.1902506321809815,3.7171929824561403
100377,-124.07,40.0,42,7849,2529.034282193375,1951,1254,4.4929,<1H OCEAN,survey_2023,184382.0,6.259170653907496,0.3222110182435183,1.5558213716108453
101872,-119.24,33.99,32,7707,2469.899433859616,3742,1034,1.1438,<1H OCEAN,survey_2023,138235.0,7.45357833655706,0.3204748194965117,3.618955512572534
101385,-121.05,40.85,35,2704,663.2813730088857,976,515,5.4466,<1H OCEAN,legacy_import,250814.0,5.250485436893204,0.24529636575772398,1.895145631067961
101038,-123.65,33.14,3,2262,383.3100910401204,1692,520,3.3933,<1H OCEAN,survey_2023,179955.0,4.35,0.16945627366937244,3.253846153846154
100308,-116.35,33.58,8,1238,215.7099314772311,335,142,1.056,NEAR OCEAN,survey_2023,61750.0,8.71830985915493,0.17424065547433853,2.359154929577465
101982,-119.72,34.63,42,8913,2274.510011138997,4102,1067,6.4501,NEAR OCEAN,survey_2023,304914.0,8.353327085285848,0.25519017290912116,3.8444236176194937
100392,-120.58,36.59,38,3876,892.5400749279418,937,440,2.0197,NEAR OCEAN,survey_2023,137773.0,8.809090909090909,0.23027349714343182,2.1295454545454544
101126,-123.43,38.89,13,2788,710.0191204881191,1591,553,0.5,INLAND,survey_2023,47768.0,5.041591320072333,0.2546696988838304,2.877034358047016
101396,-119.99,40.34,3,3022,819.1950614828495,1387,360,1.3076,<1H OCEAN,survey_2023,88418.0,8.394444444444444,0.2710771216025313,3.852777777777778
101850,-121.44,36.47,12,4140,649.8689704304971,2481,708,0.5423,<1H OCEAN,survey_2023,79977.0,5.8474576271186445,0.15697318126340512,3.5042372881355934
101227,-121.56,35.87,17,7545,1704.7845026343757,1322,846,1.9934,<1H OCEAN,survey_2023,126582.0,8.918439716312056,0.22594890690979136,1.5626477541371158
101554,-122.02,33.87,20,3605,1140.558677540164,1677,958,3.1223,INLAND,legacy_import,163548.0,3.7630480167014615,0.3163824348239012,1.7505219206680585
101361,-122.19,35.08,23,4052,1153.7653786587591,1779,483,0.5,INLAND,survey_2023,15590.0,8.389233954451345,0.2847397281981143,3.6832298136645965
101678,-122.56,40.11,39,10086,2256.6900634423296,2875,1190,3.5668,NEAR BAY,survey_2023,213945.0,8.47563025210084,0.2237448010551586,2.4159663865546217
100718,-123.06,40.55,47,2620,546.5906246659333,1221,488,0.8457,<1H OCEAN,survey_2023,118850.0,5.368852459016393,0.2086223758266921,2.502049180327869
100340,-119.38,39.64,19,6042,1594.6779886376737,3811,1172,3.2634,NEAR OCEAN,survey_2023,190243.0,5.1552901023890785,0.2639321397943849,3.2517064846416384
101228,-114.46,33.5,15,6454,1920.407724321405,2229,762,0.8968,NEAR OCEAN,survey_2023,106136.0,8.469816272965879,0.2975531026218477,2.925196850393701
100657,-120.67,40.58,49,2207,476.07965853345706,655,359,3.0996,<1H OCEAN,survey_2023,148511.0,6.147632311977716,0.21571348370342414,1.8245125348189415
100544,-118.12,33.34,27,473,148.60181057454395,340,155,2.4262,INLAND,legacy_import,89823.0,3.0516129032258066,0.31416873271573775,2.193548387096774
101109,-122.76,38.33,15,10345,3356.028549524172,4841,1372,3.0079,INLAND,survey_2023,191636.0,7.540087463556851,0.3244106862758987,3.5284256559766765
101764,-122.8,37.18,32,4672,1408.2565011243046,3847,1143,2.9984,NEAR BAY,survey_2023,178249.0,4.087489063867016,0.3014247647954419,3.3657042869641294
100694,-123.15,41.65,46,253,45.00872385601736,111,72,2.5288,NEAR OCEAN,survey_2023,155437.0,3.513888888888889,0.17790009429255874,1.5416666666666667
100681,-121.72,40.44,18,5697,1657.0196238736476,2496,670,4.4767,INLAND,survey_2023,221523.0,8.502985074626865,0.2908582804763292,3.725373134328358
101759,-118.82,40.39,27,4589,1020.971965093831,2242,575,3.5122,INLAND,survey_2023,144198.0,7.980869565217391,0.22248245044537612,3.8991304347826086
100455,-119.37,33.82,49,6112,1886.2984891544968,3645,1256,3.0062,NEAR OCEAN,survey_2023,189532.0,4.86624203821656,0.3086221350056441,2.9020700636942673
101159,-124.01,35.28,17,80,27.300345612923,83,23,0.704,<1H OCEAN,survey_2023,90826.0,3.4782608695652173,0.3412543201615375,3.608695652173913
100593,-120.84,37.44,45,9789,2435.557025534756,3049,1264,5.842,<1H OCEAN,legacy_import,313206.0,7.744462025316456,0.2488054985733738,2.4121835443037973
101149,-115.63,36.82,29,63,14.043583981025574,50,17,3.7228,<1H OCEAN,survey_2023,195799.0,3.7058823529411766,0.22291403144485036,2.9411764705882355
100558,-116.75,33.23,3,5651,1651.247875434056,1469,715,6.3795,<1H OCEAN,survey_2023,324868.0,7.903496503496504,0.2922045435204488,2.0545454545454547
101015,-115.05,35.67,45,626,210.6149078126948,308,79,6.6734,NEAR OCEAN,survey_2023,332625.0,7.924050632911392,0.33644553963689267,3.8987341772151898
100540,-114.76,38.76,10,8841,2557.0879866393298,3765,1183,0.5,NEAR BAY,survey_2023,76675.0,7.4733727810650885,0.2892306285080115,3.182586644125106
100127,-115.69,34.08,2,1043,344.7162016387987,479,202,2.5629,INLAND,legacy_import,207317.0,5.163366336633663,0.3305045078032586,2.371287128712871
100556,-122.96,37.46,44,3352,1105.6765025163577,1199,414,1.5721,<1H OCEAN,survey_2023,120015.0,8.096618357487923,0.3298557585072666,2.896135265700483
100196,-117.04,36.87,24,9081,1664.402340945878,3486,1353,0.5,NEAR OCEAN,survey_2023,30315.0,6.711751662971175,0.18328403710449048,2.57649667405765
101771,-116.45,41.07,52,1807,336.02387651510367,733,412,2.8315,<1H OCEAN,survey_2023,121878.0,4.385922330097087,0.18595676619540877,1.779126213592233
101894,-118.75,39.45,40,6498,1373.2201585286316,2124,944,1.0694,INLAND,survey_2023,65639.0,6.883474576271187,0.21132966428572356,2.25
101483,-124.24,41.25,20,904,315.504809192115,283,180,1.3499,INLAND,survey_2023,56832.0,5.022222222222222,0.3490097446815431,1.5722222222222222
101893,-122.26,36.57,39,2414,637.8235116185634,1299,367,0.5,<1H OCEAN,survey_2023,62764.0,6.577656675749319,0.2642185217972508,3.5395095367847413
100229,-117.99,35.35,31,3521,760.8510266856457,1599,753,1.1129,<1H OCEAN,legacy_import,77883.0,4.675962815405047,0.21608947079967217,2.1235059760956174
